name,P2Tfile,stat_after_P2T,tessfile,stat_after_tess,handwritten,notes
,DNE,pekka-eric-auvinen,DNE,pekka-eric-auvinen,pending,pending
Pekka_Eric_Auvinen_online.pdf,usable,*,DNE,*,pending,pending
auvinen_youtube_profile.pdf,usable,*,DNE,*,pending,pending
,DNE,kenneth-bartley,DNE,kenneth-bartley,pending,pending
bartley_v_tennessee_2010.pdf,usable,*,DNE,*,pending,pending
bartley_v_tennessee_2013.pdf,usable,*,DNE,*,pending,pending
Bartley_note.pdf,DNE,H,DNE,H,y,pending
tennessee_v_bartley_2014.pdf,bad,OCR,X,X,pending,pending
,DNE,amy-bishop,DNE,amy-bishop,pending,pending
Amy%20Bishop%201986%20shooting%20report.pdf,DNE,X,DNE,X,pending,pending
1987_Police_Report.pdf,DNE,X,DNE,X,pending,pending
ATF_Bomb_Investigation.pdf,DNE,X,DNE,X,pending,pending
Inquest_Seth_Bishop_Death.pdf,DNE,X,DNE,X,pending,pending
Amy%20Bishop%20Court%20Case.pdf,usable,*,DNE,*,pending,pending
Moriarty_v_Bishop.pdf,usable,*,DNE,*,pending,pending
Bishop_appeal_2013.pdf,DNE,X,DNE,X,pending,pending
Amy_Bishop_Appeal_2014.pdf,usable,*,DNE,*,pending,pending
Amy_Bishop_Affidavit.pdf,usable,*,DNE,*,pending,pending
,DNE,bastian-bosse,DNE,bastian-bosse,pending,pending
bosse_journal_1.0.pdf,usable,*,DNE,*,pending,pending
bosse_livejournal_1.0.pdf,usable,*,DNE,*,pending,pending
bosse_website_1.1.pdf,usable,*,DNE,*,pending,pending
bosse_video_transcript_1.1.pdf,usable,*,DNE,*,pending,pending
,DNE,sky-bouche,DNE,sky-bouche,pending,pending
bouche_interview_1.1.pdf,usable,*,DNE,*,pending,pending
Sky-Bouche-affidavit.pdf,bad,OCR,*,*,pending,pending
,DNE,nathaniel-brazill,DNE,nathaniel-brazill,pending,pending
Brazill_v_Florida_2003.pdf,usable,*,DNE,*,pending,pending
Grunow_v_Valor.pdf,usable,*,DNE,*,pending,pending
Sentencing_Report_Nathaniel_Brazill.pdf,usable,*,DNE,*,pending,pending
Brazill_Indictment.pdf,bad,OCR,bad,OCR,pending,pending
,DNE,robert-butler-jr,DNE,robert-butler-jr,pending,pending
butler_final_message_1.0.pdf,usable,*,DNE,*,pending,pending
,DNE,michael-carneal,DNE,michael-carneal,pending,pending
James_v_Meow_Media_2000.pdf,usable,*,DNE,*,pending,pending
Carneal_Court_of_Appeals_2002.pdf,usable,*,DNE,*,pending,pending
James_v_Meow_Media_2002.pdf,usable,*,DNE,*,pending,pending
Carneal_v_Commonwealth_2006.pdf,usable,*,DNE,*,pending,pending
Carneal%20Court%20of%20Appeals.pdf,usable,*,DNE,*,pending,pending
2009_Carneal_v_Donahue.pdf,bad,OCR,*,*,pending,pending
Commonwealth_v_Carneal_%202009.pdf,usable,*,DNE,*,pending,pending
Carneal_v_Dohonue_2010.pdf,usable,*,DNE,*,pending,pending
January_2011_Carneal_v_Crews.pdf,bad,OCR,X,X,pending,pending
Carneal_v_Crews_2011.pdf,usable,*,DNE,*,pending,pending
2011_Carneal_v_Donahue.pdf,DNE,X,DNE,X,pending,pending
,DNE,alvaro-castillo,DNE,alvaro-castillo,pending,pending
castillo_journal.pdf,usable,*,DNE,*,pending,pending
Castillo%20Court%20Case.pdf,usable,*,DNE,*,pending,pending
State_v_Castillo_2011.pdf,usable,*,DNE,*,pending,pending
,DNE,douglas-chanthabouly,DNE,douglas-chanthabouly,pending,pending
Kok_v_Tacoma_School_District.pdf,usable,*,DNE,*,pending,pending
Kok-v-Chanthabouly.pdf,usable,*,DNE,*,pending,pending
Washington-v-Chanthabouly.pdf,usable,*,DNE,*,pending,pending
,DNE,seung-hui-cho,DNE,seung-hui-cho,pending,pending
Cho%27s%20English%20Dept%20Emails.pdf,usable,*,DNE,*,pending,pending
cho_mental_health_records.pdf,bad,OCR,*,*,pending,pending
Mr.%20Brownstone%20-%20a%20play%20by%20Seung%20Hui%20Cho.pdf,bad,OCR,*,*,pending,pending
Richard%20McBeef.pdf,bad,OCR,bad,OCRclean,pending,pending
Cho_essay_and_professors_letter.pdf,bad,OCR,bad,OCR,pending,pending
Cho_Fiction_Poetry.pdf,bad,OCR,*,*,pending,pending
cho_manifesto_1.1.pdf,usable,*,DNE,*,pending,pending
,DNE,nikolas-cruz,DNE,nikolas-cruz,pending,pending
Broward-County-Sheriff-Summary-of-Cruz-Contacts.pdf,bad,OCR,*,*,pending,pending
Cruz_Home_Investigation_Report.pdf,bad,OCR,*,*,pending,pending
Independent-Review-NCs-Educational-Record.pdf,bad,OCR,*H,*H,y,pending
Nikolas-Cruz-police-report.pdf,bad,OCR,*,*,pending,pending
Cruz_Incident_Report.pdf,bad,OCR,X,X,pending,pending
Nikolas_Cruz_Interview_Transcript.pdf,bad,OCR,*,*,pending,pending
Cruz_Service_Notes.pdf,bad,OCR,*,*,pending,pending
Cruz_Police_Calls.pdf,bad,OCR,X,X,pending,pending
Transcript_Tipline_re_Cruz.pdf,bad,OCR,*,*,pending,pending
Transcript_Cruz_Videos.pdf,bad,OCR,*,*,pending,pending
,DNE,wellington-de-oliveira,DNE,wellington-de-oliveira,pending,pending
oliveira_note_1.1.pdf,usable,*,DNE,*,pending,pending
,DNE,dorothy-dutiel,DNE,dorothy-dutiel,pending,pending
